ExifTool Version Number         : 12.60
File Name                       : capture_001.jpg
Directory                       : .
File Size                       : 24 kB
File Modification Date/Time     : 2026:08:12 00:00:00+00:00
File Access Date/Time           : 2026:08:12 00:00:00+00:00
Camera Model Name               : CyberVault Pro
User Comment                     : CTF{3x1f_m374d474_3x7r4c710n_2026}
Encoding Process                : Baseline DCT, Huffman coding
Color Components                : 3
Y Cb Cr Sub Sampling            : YCbCr4:2:0 (2 2)
